Timestamp,Button,State
2026-04-07 14:48:12.036062,GPIO 20,pressed
2026-04-07 14:48:12.301112,GPIO 20,released
2026-04-07 14:48:12.685824,GPIO 20,pressed
2026-04-07 14:48:14.407092,GPIO 20,released
2026-04-07 14:48:14.872442,GPIO 21,pressed
2026-04-07 14:48:16.197833,GPIO 21,released
2026-04-07 14:48:16.329602,GPIO 20,pressed
2026-04-07 14:48:16.551925,GPIO 20,released
2026-04-07 14:48:16.804701,GPIO 21,pressed
2026-04-07 14:48:17.047199,GPIO 21,released
2026-04-07 14:48:17.229077,GPIO 21,pressed
2026-04-07 14:48:17.390832,GPIO 21,released
2026-04-07 14:48:17.522204,GPIO 20,pressed
2026-04-07 14:48:17.683875,GPIO 20,released
2026-04-07 14:48:18.209277,GPIO 20,pressed
2026-04-07 14:48:18.403372,GPIO 20,released
2026-04-07 14:48:18.655949,GPIO 21,pressed
2026-04-07 14:48:18.898502,GPIO 21,released
2026-04-07 14:48:19.151057,GPIO 20,pressed
2026-04-07 14:48:19.302655,GPIO 20,released
2026-04-07 14:48:19.494787,GPIO 20,pressed
2026-04-07 14:48:19.686759,GPIO 20,released
2026-04-07 14:48:19.818127,GPIO 20,pressed
2026-04-07 14:48:19.959613,GPIO 20,released
2026-04-07 14:48:20.101116,GPIO 20,pressed
2026-04-07 14:48:20.222405,GPIO 20,released
2026-04-07 14:48:20.354355,GPIO 20,pressed
2026-04-07 14:48:20.465582,GPIO 20,released
2026-04-07 14:48:20.566660,GPIO 20,pressed
2026-04-07 14:48:20.718287,GPIO 20,released
2026-04-07 14:48:20.991117,GPIO 21,pressed
2026-04-07 14:48:21.162968,GPIO 21,released
