timestamp,button,state
2026-08-21 15:55:07.718822,GPIO20,RELEASED
2026-08-21 15:55:12.659708,GPIO20,PRESSED
2026-08-21 15:55:13.067695,GPIO20,RELEASED
2026-08-21 15:55:13.494744,GPIO20,PRESSED
2026-08-21 15:55:13.590591,GPIO20,RELEASED
2026-08-21 15:55:14.101749,GPIO20,PRESSED
2026-08-21 15:55:14.786322,GPIO20,RELEASED
2026-08-21 15:55:15.498871,GPIO20,PRESSED
2026-08-21 15:55:15.748965,GPIO20,RELEASED
2026-08-21 15:55:15.894336,GPIO20,PRESSED
2026-08-21 15:55:16.708057,GPIO20,RELEASED
2026-08-21 15:55:18.240249,GPIO20,PRESSED
2026-08-21 15:55:20.670038,GPIO20,RELEASED
